"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
6039,"California","Madera",61105,11910,49672,79.7,2021,36,55,"33",49,51,6778,7363,7951,26,6
6041,"California","Marin",112069,8366,16457,85.4,2021,1,1,"1",1,3,3239,7438,3105,12,6
6047,"California","Merced",59733,18960,36510,79.2,2021,38,54,"31",54,54,6593,14779,7915,28,6
6053,"California","Monterey",76509,38932,40742,82.7,2021,20,35,"18",44,43,5072,5570,5489,24,6
6059,"California","Orange",95761,197867,4315,83.2,2021,6,9,"5",17,10,4144,5581,4776,17,6
6061,"California","Placer",97688,12639,48039,82.4,2021,3,2,"9",2,1,4471,5369,4780,13,6
6065,"California","Riverside",72905,169108,101212,80.9,2021,25,32,"22",45,30,5842,8588,6834,20,7
6067,"California","Sacramento",71891,72048,29257,79.6,2021,26,24,"27",21,23,6382,10713,6431,18,7
6071,"California","San Bernardino",67398,154414,96357,78.8,2021,43,40,"35",55,33,6846,10760,8388,24,7
6073,"California","San Diego",83576,228064,102054,82.2,2021,13,18,"12",27,15,4634,7688,4875,16,7
6075,"California","San Francisco",121795,33312,0,84,2021,7,5,"6",4,14,4315,12924,3833,13,7
6077,"California","San Joaquin",68458,45305,58065,78.6,2021,39,43,"41",34,45,7275,13814,8028,22,7
6079,"California","San Luis Obispo",76599,14223,44750,81.7,2021,16,12,"19",7,6,5153,3945,5458,15,6
6081,"California","San Mateo",135234,28568,13586,85,2021,2,3,"2",3,2,3297,6770,3629,13,7
6083,"California","Santa Barbara",74530,37816,21269,82,2021,18,19,"20",20,22,5200,7609,5768,19,7
6085,"California","Santa Clara",132444,76638,19307,84.9,2021,4,4,"3",5,4,3494,6578,3833,14,7
6089,"California","Shasta",61464,8830,51902,76.2,2021,49,26,"52",19,28,9067,12261,9306,17,6
6095,"California","Solano",85704,19052,15370,80.2,2021,23,21,"25",23,18,6159,10369,6532,17,7
6097,"California","Sonoma",87084,29232,59776,82.2,2021,8,11,"15",14,5,4803,6916,5217,15,6
6099,"California","Stanislaus",62761,29586,41057,78.2,2021,34,39,"40",41,38,7117,12207,8407,22,6
6107,"California","Tulare",56776,31986,68449,78.7,2021,47,57,"36",46,57,6953,12514,8396,28,7
6111,"California","Ventura",91446,61204,25725,82.5,2021,12,16,"13",24,16,4654,5792,5055,18,6
6113,"California","Yolo",70951,11368,13918,81.7,2021,10,13,"10",11,19,4617,9066,5039,18,6
6115,"California","Yuba",56607,4632,18921,75.7,2021,52,45,"54",56,37,9488,12506,11173,21,7
8001,"Colorado","Adams",75341,41143,15988,79.4,2021,30,41,"23",36,38,6320,8896,6591,18,9
8005,"Colorado","Arapahoe",82364,42610,9011,81.3,2021,15,20,"12",13,26,5344,7561,5188,14,10
8031,"Colorado","Denver",75456,57628,0,79.9,2021,24,30,"24",10,37,6341,10785,5171,16,9
8041,"Colorado","El Paso",72675,43696,55595,78.9,2021,32,22,"44",17,30,7534,9946,7333,14,10
8059,"Colorado","Jefferson",89696,27630,36864,80.8,2021,12,13,"16",7,15,5488,11353,5326,12,9
8101,"Colorado","Pueblo",51075,10496,22513,76.3,2021,54,54,"55",18,55,10009,14365,9430,20,10
9001,"Connecticut","Fairfield",96966,57062,42028,83,2021,1,3,"1",5,4,4442,7361,4261,12,8
9003,"Connecticut","Hartford",75336,34676,48354,80.2,2021,5,5,"4",2,6,6154,7537,6206,14,9
9007,"Connecticut","Middlesex",81721,4726,40657,81.2,2021,2,1,"3",1,1,5365,6364,5681,11,7
9009,"Connecticut","New Haven",69687,38701,31394,80.1,2021,7,7,"5",6,8,6337,9009,6281,15,8
9011,"Connecticut","New London",75226,10378,70729,79.7,2021,6,6,"6",7,5,6593,7364,7074,14,7
9013,"Connecticut","Tolland",90181,4169,58340,81.5,2021,3,2,"2",4,2,5068,5660,5488,11,7
10001,"Delaware","Kent",58804,8601,43774,77.8,2021,3,3,"3",3,3,8104,9706,7996,21,9
10003,"Delaware","New Castle",76076,23282,24783,78.4,2021,1,1,"1",1,1,7918,10615,7690,17,9
10005,"Delaware","Sussex",64839,12999,81428,78.7,2021,2,2,"2",2,2,8067,10427,8311,19,8
11001,"District of Columbia","District of Columbia",90395,18731,0,79,2021,1,1,"1",1,1,7956,14160,2390,15,10
12001,"Florida","Alachua",49880,22684,52419,79.2,2021,23,5,"12",1,16,6840,10773,6370,18,10
12005,"Florida","Bay",58376,19727,20262,76.4,2021,42,34,"43",34,33,9456,11360,9660,21,8
12007,"Florida","Bradford",47509,2209,21541,75.3,2021,61,53,"54",49,55,10229,7133,11632,25,11
