"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Life.Expectancy..Black.","Life.Expectancy..White.","Year"
13139,"Georgia","Hall",66698,30338,36937,79.5,77.1,78.4,2021
13141,"Georgia","Hancock",31715,650,5807,75.7,74.1,79.8,2021
13145,"Georgia","Harris",74052,2783,30962,79.4,75.5,80,2021
13147,"Georgia","Hart",50647,3041,18775,78.4,78.4,78,2021
13151,"Georgia","Henry",72927,23150,28250,77.6,77,77.1,2021
13153,"Georgia","Houston",65641,13858,13937,77.3,76.1,77.4,2021
13155,"Georgia","Irwin",42317,874,6172,73.4,69.7,74.9,2021
13157,"Georgia","Jackson",66645,7908,36300,77.3,76.7,76.9,2021
13159,"Georgia","Jasper",59207,1938,11365,76.4,76.4,76.2,2021
13161,"Georgia","Jeff Davis",40603,2089,10474,74.1,75.3,72.8,2021
13163,"Georgia","Jefferson",35379,1902,13657,72.8,71.3,74,2021
13165,"Georgia","Jenkins",32808,930,5513,74.7,74.5,74.4,2021
13167,"Georgia","Johnson",37771,874,6528,75.4,77.8,74.2,2021
13169,"Georgia","Jones",56819,2867,19413,78.3,79.5,77.8,2021
13171,"Georgia","Lamar",57402,1968,11150,74.7,73.5,74.8,2021
13173,"Georgia","Lanier",42667,1182,7168,75.8,76.9,74.7,2021
13175,"Georgia","Laurens",42018,5256,27435,74.1,71.5,75.6,2021
13177,"Georgia","Lee",72425,2514,10252,76,76.4,75.5,2021
13179,"Georgia","Liberty",51410,6037,14696,76.1,76.8,73.8,2021
13181,"Georgia","Lincoln",45299,877,7996,78.1,75.7,78.8,2021
13183,"Georgia","Long",52051,2550,11765,82.1,84.8,79.8,2021
13185,"Georgia","Lowndes",46450,14663,29716,76.2,73.7,77,2021
13189,"Georgia","McDuffie",44473,2209,13335,73.3,71.7,74.1,2021
13191,"Georgia","McIntosh",46682,1667,10651,81.4,82.5,80.6,2021
13193,"Georgia","Macon",34634,1547,7840,73.2,73,73.1,2021
13195,"Georgia","Madison",52326,3961,25836,76.4,76.5,75.8,2021
13197,"Georgia","Marion",41190,953,8742,76.6,73.1,77.7,2021
13199,"Georgia","Meriwether",43571,2507,18316,74.1,73,74.5,2021
13205,"Georgia","Mitchell",37383,2543,12809,73.2,70.8,74.8,2021
13207,"Georgia","Monroe",70488,2657,21200,77.8,73.5,78.5,2021
13209,"Georgia","Montgomery",43657,1069,9005,75.8,76.5,74.8,2021
13211,"Georgia","Morgan",67089,1875,13467,78.1,75.4,78.6,2021
13215,"Georgia","Muscogee",47035,20708,5654,74.3,72.6,75.2,2021
13217,"Georgia","Newton",58222,12988,31231,76.3,76.8,75.5,2021
13219,"Georgia","Oconee",100878,2970,16508,81.4,80.7,81.2,2021
13221,"Georgia","Oglethorpe",54346,2135,14788,79.1,78.7,78.6,2021
13223,"Georgia","Paulding",76580,17683,28540,78.9,81.9,78.1,2021
13225,"Georgia","Peach",49815,3119,10586,74.6,72.8,75.1,2021
13229,"Georgia","Pierce",46701,2364,14885,75.2,73,75.2,2021
13231,"Georgia","Pike",74905,1851,17684,76,72,76.3,2021
13233,"Georgia","Polk",47896,5702,21327,73.8,69.3,73.7,2021
13235,"Georgia","Pulaski",42274,1005,8011,79,76.2,80.6,2021
13237,"Georgia","Putnam",62282,2679,17175,79.3,76.4,79.7,2021
13243,"Georgia","Randolph",33505,721,3908,75.7,73.5,81.8,2021
13245,"Georgia","Richmond",44810,23018,18483,74.1,73.8,73.1,2021
13247,"Georgia","Rockdale",60281,10614,12725,77.3,77.3,76.2,2021
13251,"Georgia","Screven",42331,1531,11517,75.1,75.3,74.4,2021
13253,"Georgia","Seminole",38618,977,5984,74.3,72.6,74.7,2021
13255,"Georgia","Spalding",49237,8025,26667,74.7,73.5,74.6,2021
13257,"Georgia","Stephens",45416,2915,15329,73,71.2,73,2021
13261,"Georgia","Sumter",40250,3458,13713,73.4,70.8,76,2021
