"FIPS","State","County","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
24003,"Maryland","Anne Arundel",6793,7685,7046,13,8
24005,"Maryland","Baltimore",8127,9580,8132,17,9
24009,"Maryland","Calvert",6842,7303,7068,13,7
24011,"Maryland","Caroline",8336,9394,8337,21,7
24013,"Maryland","Carroll",6753,8828,6987,13,7
24015,"Maryland","Cecil",9841,11852,9993,17,8
24017,"Maryland","Charles",7310,7374,8145,15,9
24019,"Maryland","Dorchester",10435,15584,9091,21,10
24021,"Maryland","Frederick",5645,7521,5815,13,7
24025,"Maryland","Harford",6854,8434,6888,16,7
24027,"Maryland","Howard",4244,6657,3997,11,8
24031,"Maryland","Montgomery",4065,5897,4153,12,7
24033,"Maryland","Prince George's",6828,7905,6301,18,9
24035,"Maryland","Queen Anne's",6647,11885,6394,13,7
24037,"Maryland","St. Mary's",6877,9566,6821,16,7
24039,"Maryland","Somerset",9586,9128,11612,24,9
24041,"Maryland","Talbot",7284,10080,7101,14,7
24043,"Maryland","Washington",8849,11732,8885,18,9
24045,"Maryland","Wicomico",8637,10726,8354,18,9
24047,"Maryland","Worcester",7443,10071,7036,16,6
24510,"Maryland","Baltimore City",13830,16833,9977,21,12
25001,"Massachusetts","Barnstable",7072,6719,7144,13,7
25003,"Massachusetts","Berkshire",8223,15952,8168,15,8
25005,"Massachusetts","Bristol",7181,6317,7134,16,8
25009,"Massachusetts","Essex",5943,6661,6231,15,8
25013,"Massachusetts","Hampden",7737,11195,7434,19,8
25017,"Massachusetts","Middlesex",4231,5480,4455,11,7
25021,"Massachusetts","Norfolk",4545,5291,4956,11,7
25023,"Massachusetts","Plymouth",6132,5751,6289,14,7
25025,"Massachusetts","Suffolk",5423,7807,5298,18,9
25027,"Massachusetts","Worcester",6420,6327,6488,15,8
26017,"Michigan","Bay",8069,14941,7917,19,7
26021,"Michigan","Berrien",7875,13373,6986,19,8
26025,"Michigan","Calhoun",9084,12908,8928,19,9
26045,"Michigan","Eaton",6175,6639,6096,16,7
26049,"Michigan","Genesee",10130,14796,8847,20,10
26065,"Michigan","Ingham",7338,12573,6790,16,8
26075,"Michigan","Jackson",8177,11256,7765,18,9
26077,"Michigan","Kalamazoo",6816,11725,6179,16,8
26081,"Michigan","Kent",5741,10593,5272,17,8
26099,"Michigan","Macomb",7621,10986,7284,17,9
26115,"Michigan","Monroe",7983,10454,7901,17,7
26121,"Michigan","Muskegon",8533,13064,7388,20,10
26125,"Michigan","Oakland",5627,8755,5400,14,8
26139,"Michigan","Ottawa",4454,7444,4334,15,6
26145,"Michigan","Saginaw",8543,14122,6944,20,10
26147,"Michigan","St. Clair",8305,13776,8255,19,7
26159,"Michigan","Van Buren",7254,12645,7158,21,7
26161,"Michigan","Washtenaw",5019,9157,4727,14,7
26163,"Michigan","Wayne",10534,14801,8023,24,11
27003,"Minnesota","Anoka",5087,6928,4967,13,6
27037,"Minnesota","Dakota",4314,5717,4199,11,7
27053,"Minnesota","Hennepin",5175,9889,4357,11,7
27109,"Minnesota","Olmsted",4427,8082,4318,11,6
27123,"Minnesota","Ramsey",5984,10369,5053,14,8
27137,"Minnesota","St. Louis",6962,15103,6534,14,7
27139,"Minnesota","Scott",3661,4741,3563,11,6
27145,"Minnesota","Stearns",5231,7231,5041,13,6
27163,"Minnesota","Washington",4265,4214,4393,11,6
28001,"Mississippi","Adams",11856,14946,11061,31,13
28003,"Mississippi","Alcorn",11779,14237,11481,23,11
28005,"Mississippi","Amite",9465,11837,8128,27,11
28007,"Mississippi","Attala",11022,14762,8055,27,14
28009,"Mississippi","Benton",12427,14123,12147,27,11
28011,"Mississippi","Bolivar",13397,15236,10246,30,14
28013,"Mississippi","Calhoun",10794,13862,9649,27,12
28017,"Mississippi","Chickasaw",11860,13035,11817,29,13
28019,"Mississippi","Choctaw",12555,18305,10366,24,11
28023,"Mississippi","Clarke",11519,16178,8883,24,13
28025,"Mississippi","Clay",8220,9164,7097,27,14
28027,"Mississippi","Coahoma",16184,17413,13384,33,18
28029,"Mississippi","Copiah",9958,10602,9691,27,15
28031,"Mississippi","Covington",11898,13627,11282,26,12
28033,"Mississippi","DeSoto",8323,7919,8989,18,9
28035,"Mississippi","Forrest",11926,15316,10220,23,12
28041,"Mississippi","Greene",8658,9634,8592,23,7
28043,"Mississippi","Grenada",15644,19224,13219,25,12
28047,"Mississippi","Harrison",9845,11514,9857,22,10
